SessionID;CustomerID;SessionDurationMinutes;NumberOfPagesVisited;ItemsAddedToCart;ItemsRemovedFromCart;DeviceUsed
6778;12140;18.09;14;1;0;Tablet
6779;3900;20.78;21;4;0;Tablet
6780;1745;40.60;22;0;0;Tablet
6781;3789;17.39;9;0;0;Mobile
6782;6987;32.62;17;3;0;Tablet
6783;3711;2.85;2;0;0;Desktop
6784;12182;7.38;6;1;0;Desktop
6785;991;16.98;9;0;0;Mobile
6786;2850;1.88;2;1;0;Mobile
6787;9232;3.37;5;0;0;Desktop
6788;2587;27.72;22;0;0;Mobile
6789;4520;17.91;11;1;0;Tablet
6790;4206;8.46;7;1;0;Tablet
6791;6253;3.61;2;0;0;Desktop
6792;9723;18.02;12;0;0;Desktop
6793;147;2.37;3;4;0;Mobile
6794;6408;1.98;2;0;0;Desktop
6795;5126;19.84;11;3;1;Desktop
6796;4154;2.37;3;2;0;Tablet
6797;2957;10.38;10;2;0;Tablet
6798;2432;3.88;2;0;0;Mobile
6799;8114;5.18;7;2;0;Mobile
6800;2636;7.27;5;4;0;Desktop
6801;3939;5.51;10;0;0;Tablet
6802;5387;2.61;5;1;0;Desktop
6803;5448;7.48;10;1;0;Tablet
6804;9783;3.04;2;0;0;Tablet
6805;11037;36.28;23;3;0;Mobile
6806;1390;15.21;9;1;0;Tablet
6807;1708;9.28;15;0;0;Desktop
6808;11604;11.85;6;0;0;Mobile
6809;5022;13.39;23;1;0;Desktop
6810;4771;24.01;13;0;0;Tablet
6811;6839;10.97;9;4;0;Desktop
6812;328;5.97;10;1;0;Desktop
6813;4840;5.31;3;0;0;Tablet
6814;3171;4.25;3;0;0;Tablet
6815;676;24.25;23;0;0;Tablet
6816;11969;21.50;11;0;0;Tablet
6817;11431;15.11;13;0;0;Desktop
6818;7912;20.07;15;0;0;Tablet
6819;950;18.40;14;4;0;Desktop
6820;1704;29.14;24;1;0;Desktop
6821;8602;43.60;22;0;0;Mobile
6822;9299;1.83;3;4;0;Mobile
6823;2854;3.74;5;0;0;Desktop
6824;4462;16.88;20;0;0;Desktop
6825;6070;31.98;17;0;0;Tablet
6826;10443;13.01;24;0;0;Tablet
6827;12194;5.23;3;4;0;Desktop
6828;7101;7.96;10;0;0;Tablet
6829;11706;28.91;18;4;0;Tablet
6830;649;38.21;25;0;0;Desktop
6831;7017;6.58;7;0;0;Mobile
6832;9855;10.70;7;0;0;Mobile
6833;156;4.14;3;0;0;Desktop
6834;1063;6.15;9;3;0;Desktop
6835;9545;7.58;5;4;0;Mobile
6836;9871;8.50;8;0;0;Tablet
6837;5629;1.21;1;0;0;Desktop
6838;1243;24.66;15;0;0;Mobile
6839;4841;14.11;9;0;0;Desktop
6840;2372;0.75;1;0;0;Desktop
6841;7951;31.64;23;0;0;Tablet
6842;6417;26.69;17;0;0;Tablet
6843;6910;7.79;5;3;0;Desktop
6844;6621;23.53;24;4;0;Desktop
6845;1887;5.24;7;2;0;Mobile
6846;3844;30.08;22;0;0;Mobile
6847;6541;1.15;1;0;0;Desktop
6848;11910;7.35;6;1;0;Mobile
6849;6007;14.09;19;3;0;Tablet
6850;10916;18.04;14;0;0;Mobile
6851;6750;25.39;15;3;0;Desktop
6852;7713;12.31;9;0;0;Mobile
6853;9939;11.39;17;2;0;Mobile
6854;951;4.25;3;0;0;Mobile
6855;9455;3.68;4;1;0;Tablet
6856;9088;32.38;17;0;0;Desktop
6857;4930;37.80;24;2;0;Tablet
6858;2889;21.03;17;4;0;Tablet
6859;1459;29.92;15;0;0;Mobile
6860;6734;1.85;1;0;0;Desktop
6861;9454;19.92;13;2;0;Tablet
6862;7356;1.28;1;4;0;Tablet
6863;11753;34.19;23;2;1;Desktop
6864;6122;21.83;16;4;2;Desktop
6865;7491;6.19;6;3;0;Desktop
6866;3506;13.03;22;1;0;Desktop
6867;4178;8.17;9;1;0;Desktop
6868;5231;26.24;20;1;0;Tablet
6869;7748;43.61;23;4;0;Desktop
6870;3575;11.46;7;1;0;Desktop
6871;3866;6.81;8;4;0;Desktop
6872;10190;7.74;8;2;0;Mobile
6873;12128;24.71;21;0;0;Mobile
6874;7392;12.32;20;0;0;Mobile
6875;8954;27.92;20;4;1;Desktop
6876;6082;23.45;21;3;0;Tablet
6877;2126;5.19;4;0;0;Mobile
6878;3342;25.41;20;0;0;Desktop
6879;6235;0.91;1;0;0;Mobile
6880;2860;35.35;23;0;0;Desktop
6881;11800;1.79;3;3;0;Mobile
6882;10978;9.28;12;2;0;Desktop
6883;7942;14.71;11;0;0;Tablet
6884;9505;10.30;9;0;0;Mobile
6885;918;11.18;6;3;1;Tablet
6886;6966;2.03;3;0;0;Tablet
6887;11260;7.65;5;2;0;Mobile
6888;6866;11.06;13;0;0;Tablet
6889;10789;22.40;12;4;3;Desktop
6890;2150;14.51;14;3;1;Desktop
6891;4831;17.11;21;4;0;Desktop
6892;5844;15.45;17;0;0;Mobile
6893;6689;12.84;12;3;0;Mobile
6894;10113;20.85;15;0;0;Mobile
6895;3445;36.11;20;0;0;Tablet
6896;620;12.88;8;4;0;Tablet
6897;3581;3.86;2;4;0;Desktop
6898;5755;18.99;14;3;2;Mobile
6899;11512;20.44;20;0;0;Tablet
6900;2760;9.80;18;2;0;Tablet
6901;9703;6.25;10;0;0;Desktop
6902;3606;26.06;17;0;0;Desktop
6903;10341;27.82;24;1;0;Desktop
6904;3148;42.03;23;0;0;Tablet
6905;7346;13.08;18;0;0;Mobile
6906;4830;11.98;12;0;0;Mobile
6907;465;12.32;23;0;0;Desktop
6908;8028;18.60;15;0;0;Desktop
6909;10032;15.23;20;0;0;Tablet
6910;5469;24.03;25;4;0;Tablet
6911;4230;13.09;10;1;0;Desktop
6912;4171;29.80;16;0;0;Mobile
6913;1121;17.20;14;1;0;Tablet
6914;1013;12.20;14;0;0;Mobile
6915;3804;4.43;5;1;0;Mobile
6916;11996;42.06;22;0;0;Mobile
6917;5916;45.27;25;0;0;Desktop
6918;1509;30.26;23;2;0;Desktop
6919;1510;42.32;24;3;0;Tablet
6920;9196;2.80;2;0;0;Desktop
6921;10218;23.22;13;4;0;Mobile
6922;9346;25.06;18;0;0;Tablet
6923;6415;34.71;25;3;0;Desktop
6924;1255;18.44;11;2;0;Desktop
6925;8080;12.82;17;2;0;Desktop
6926;7837;14.15;25;4;0;Desktop
6927;1154;5.15;3;2;0;Tablet
6928;7411;24.79;17;0;0;Desktop
6929;1093;29.46;17;3;1;Mobile
6930;1651;1.29;1;4;0;Desktop
6931;6964;26.87;15;0;0;Mobile
6932;6169;37.09;20;0;0;Desktop
6933;8292;20.81;17;4;0;Desktop
6934;5526;16.71;17;3;0;Desktop
6935;4184;4.09;5;0;0;Desktop
6936;3107;13.27;14;4;3;Mobile
6937;6741;35.10;23;4;0;Tablet
6938;798;11.37;10;2;0;Tablet
6939;6139;24.57;20;0;0;Tablet
6940;3421;30.33;20;0;0;Mobile
6941;11431;2.48;4;2;0;Desktop
6942;8998;1.96;1;0;0;Desktop
6943;9345;29.51;22;4;0;Tablet
6944;5191;17.01;17;1;0;Desktop
6945;69;21.70;24;0;0;Tablet
6946;8447;17.46;10;0;0;Tablet
6947;4243;9.57;12;0;0;Tablet
6948;2783;7.31;9;4;0;Desktop
6949;2934;25.14;20;0;0;Tablet
6950;5164;13.35;12;0;0;Tablet
6951;3100;30.04;24;1;0;Mobile
6952;6531;34.87;18;2;0;Mobile
6953;6010;18.16;11;1;0;Tablet
6954;4775;14.39;8;1;0;Mobile
6955;1934;28.53;15;0;0;Desktop
6956;5868;17.01;10;0;0;Tablet
6957;11152;26.80;19;0;0;Desktop
6958;2609;12.17;16;2;0;Mobile
6959;7578;25.51;21;0;0;Mobile
6960;7760;11.97;19;3;0;Tablet
6961;929;18.71;16;2;0;Tablet
6962;7649;7.64;14;0;0;Mobile
6963;1060;13.45;8;0;0;Desktop
6964;3543;21.14;25;2;0;Mobile
6965;9914;18.73;18;4;0;Tablet
6966;214;4.24;3;0;0;Tablet
6967;2183;40.27;21;0;0;Tablet
6968;11800;2.52;5;2;0;Tablet
6969;10632;5.08;6;2;0;Tablet
6970;9934;2.65;2;4;0;Mobile
6971;4273;2.60;3;2;0;Desktop
6972;9317;13.00;10;2;0;Desktop
6973;12077;13.56;7;0;0;Tablet
6974;2658;13.26;23;3;0;Desktop
6975;3805;33.35;18;4;0;Mobile
6976;8256;10.81;21;0;0;Mobile
6977;7889;23.37;13;2;0;Mobile
6978;12259;1.17;1;3;0;Desktop
6979;1648;17.02;9;0;0;Mobile
6980;5729;0.84;1;0;0;Tablet
6981;10010;21.59;11;0;0;Tablet
6982;11162;14.90;15;0;0;Tablet
6983;3275;17.83;12;0;0;Mobile
6984;3307;6.37;9;0;0;Desktop
6985;9862;3.20;6;4;0;Tablet
6986;9035;0.75;1;2;0;Desktop
6987;8825;27.46;15;1;0;Tablet
6988;2630;9.64;10;2;0;Mobile
6989;6905;15.36;16;3;0;Desktop
6990;1892;0.55;1;3;0;Tablet
6991;3796;17.05;25;0;0;Desktop
6992;8916;24.49;17;2;0;Mobile
6993;6471;19.08;17;0;0;Tablet
6994;1489;9.68;8;1;0;Desktop
6995;10379;42.72;25;0;0;Mobile
6996;6761;46.54;25;0;0;Desktop
6997;11579;35.22;18;2;0;Mobile
6998;2690;7.00;4;2;0;Tablet
6999;3354;25.79;17;1;0;Tablet
7000;2499;8.15;5;2;0;Desktop
7001;9950;18.95;22;0;0;Desktop
7002;10729;4.33;6;3;0;Mobile
7003;7744;10.41;13;0;0;Mobile
7004;3960;38.31;20;0;0;Mobile
7005;5120;11.34;20;1;0;Desktop
7006;9777;8.77;12;3;2;Mobile
7007;4649;12.87;23;0;0;Tablet
7008;7750;2.37;2;4;0;Desktop
7009;2229;17.06;11;2;0;Desktop
7010;6587;7.91;8;4;0;Tablet
7011;10559;3.31;2;4;0;Tablet
7012;5181;9.67;16;0;0;Desktop
7013;2325;12.12;9;0;0;Mobile
7014;3029;26.71;15;4;0;Tablet
7015;477;28.95;23;0;0;Tablet
7016;7442;12.58;8;0;0;Mobile
7017;8941;23.84;24;4;0;Tablet
7018;8859;16.48;23;2;0;Mobile
7019;12160;11.81;19;4;0;Tablet
7020;11639;6.57;4;3;0;Tablet
7021;3704;2.91;3;4;0;Mobile
7022;2430;49.41;25;2;0;Tablet
7023;3663;16.38;12;2;0;Tablet
7024;11906;30.29;20;0;0;Tablet
7025;9230;20.28;23;4;0;Tablet
7026;9227;2.75;3;0;0;Tablet
7027;5185;1.79;1;0;0;Desktop
7028;8667;2.30;3;0;0;Tablet
7029;4659;5.14;4;4;0;Tablet
7030;11933;46.69;25;4;2;Desktop
7031;4024;48.73;25;4;0;Desktop
7032;5188;12.64;13;0;0;Mobile
7033;11106;25.75;21;0;0;Tablet
7034;7023;5.30;7;4;0;Tablet
7035;11532;30.56;21;2;1;Desktop
7036;4584;20.26;23;1;0;Desktop
7037;9947;29.09;25;3;0;Mobile
7038;1409;25.75;22;0;0;Tablet
7039;1969;17.66;12;1;0;Tablet
7040;11164;4.77;7;0;0;Mobile
7041;2843;44.15;23;3;0;Mobile
7042;635;32.74;20;0;0;Desktop
7043;9408;17.50;23;3;0;Tablet
7044;8612;9.69;19;0;0;Desktop
7045;22;29.14;21;4;0;Mobile
7046;8581;32.53;22;0;0;Tablet
7047;7671;3.57;2;3;0;Desktop
7048;6307;8.54;5;1;0;Mobile
7049;2218;13.93;8;3;0;Tablet
7050;11161;40.47;21;2;0;Desktop
7051;8764;36.35;22;3;0;Mobile
7052;1752;21.04;12;0;0;Mobile
7053;6216;19.85;13;0;0;Tablet
7054;4555;11.98;13;0;0;Mobile
7055;10998;35.28;19;2;0;Mobile
7056;8037;10.74;14;1;0;Desktop
7057;1693;5.18;4;2;0;Tablet
7058;6234;13.60;7;3;0;Mobile
7059;12287;8.64;7;4;0;Desktop
7060;12342;22.99;12;2;0;Desktop
7061;9468;37.25;22;2;0;Mobile
7062;5992;42.70;24;0;0;Tablet
7063;1777;24.63;22;1;0;Mobile
7064;10555;20.06;11;2;0;Desktop
7065;5402;21.64;11;4;0;Mobile
7066;11006;14.86;17;2;0;Desktop
7067;425;35.57;23;2;0;Desktop
7068;12201;15.23;16;3;0;Desktop
7069;12157;6.31;9;2;0;Desktop
7070;1451;5.50;3;0;0;Tablet
7071;2697;15.15;9;1;0;Tablet
7072;1058;28.50;24;0;0;Desktop
7073;4892;4.29;7;0;0;Mobile
7074;1562;4.15;5;0;0;Desktop
7075;5452;7.08;7;0;0;Tablet
7076;11318;10.38;6;4;0;Mobile
7077;1788;5.39;3;0;0;Desktop
7078;1604;12.99;9;3;0;Desktop
7079;8551;7.47;9;0;0;Mobile
7080;6504;24.74;14;2;0;Desktop
7081;3597;4.26;3;4;1;Mobile
7082;12045;14.85;12;4;0;Tablet
7083;8356;16.60;15;0;0;Desktop
7084;6635;10.99;9;0;0;Desktop
7085;11529;6.64;7;0;0;Desktop
7086;9712;24.93;20;0;0;Desktop
7087;2912;38.76;20;3;0;Mobile
7088;3022;8.17;5;2;0;Mobile
7089;4640;27.41;22;2;0;Mobile
7090;11733;6.38;6;0;0;Tablet
7091;9770;9.73;7;0;0;Mobile
7092;6891;6.35;4;0;0;Mobile
7093;8957;2.76;5;4;0;Desktop
7094;3378;24.88;21;0;0;Desktop
7095;1938;1.00;1;0;0;Desktop
7096;2780;19.79;20;2;1;Mobile
7097;9438;12.62;10;3;2;Tablet
7098;7823;9.96;12;0;0;Mobile
7099;140;3.39;6;2;0;Tablet
7100;1250;8.78;14;0;0;Mobile
7101;9919;47.81;25;4;2;Tablet
7102;5379;11.98;20;0;0;Mobile
7103;6925;2.70;2;4;0;Mobile
7104;3384;21.43;25;3;0;Mobile
7105;12392;14.72;13;0;0;Desktop
7106;10677;20.23;14;0;0;Mobile
7107;5882;26.75;25;2;0;Mobile
7108;3070;11.74;8;0;0;Tablet
7109;11636;33.95;22;4;0;Tablet
7110;11964;1.30;1;2;0;Desktop
7111;7824;5.32;3;0;0;Desktop
7112;9425;7.80;8;4;0;Mobile
7113;8410;10.97;19;0;0;Desktop
7114;6107;5.18;4;1;0;Tablet
7115;1751;13.19;7;2;1;Mobile
7116;9657;26.41;16;4;2;Mobile
7117;9590;22.50;19;0;0;Mobile
7118;9420;14.08;14;0;0;Mobile
7119;11749;19.11;24;0;0;Desktop
7120;475;27.65;21;0;0;Desktop
7121;6897;8.55;13;3;0;Mobile
7122;4490;14.32;10;0;0;Desktop
7123;6148;4.28;8;0;0;Desktop
7124;4815;5.23;6;1;0;Tablet
7125;967;17.07;16;4;0;Desktop
7126;4436;8.13;12;0;0;Tablet
7127;8778;25.61;20;4;0;Tablet
7128;11676;2.73;2;1;0;Mobile
7129;1437;17.40;19;0;0;Desktop
7130;5560;23.03;20;2;1;Mobile
7131;11189;8.48;10;0;0;Desktop
7132;211;3.60;4;0;0;Mobile
7133;3242;38.51;24;4;0;Mobile
7134;12179;2.42;4;2;1;Desktop
7135;3165;33.64;17;4;0;Tablet
7136;4924;7.26;7;0;0;Mobile
7137;4003;2.40;3;0;0;Desktop
7138;11602;4.70;9;0;0;Tablet
7139;3460;12.80;8;2;0;Desktop
7140;2619;9.35;6;4;0;Mobile
7141;5179;34.54;23;0;0;Mobile
7142;9960;11.43;22;0;0;Mobile
7143;4783;28.86;17;0;0;Desktop
7144;1691;23.38;15;0;0;Mobile
7145;11314;22.38;13;3;0;Mobile
7146;7744;16.51;18;0;0;Mobile
7147;12406;33.38;19;0;0;Desktop
7148;2514;20.89;22;1;0;Mobile
7149;6873;19.13;10;0;0;Mobile
7150;1994;37.82;22;2;0;Desktop
7151;2409;4.81;7;0;0;Mobile
7152;7356;16.46;19;2;0;Desktop
7153;7490;1.24;2;1;0;Desktop
7154;7408;39.73;22;0;0;Desktop
7155;11330;9.03;18;3;2;Tablet
7156;3763;13.50;7;3;0;Desktop
7157;9996;14.37;12;2;0;Desktop
7158;7689;3.61;4;0;0;Tablet
7159;1589;39.64;21;0;0;Desktop
7160;4186;17.82;10;0;0;Tablet
7161;7691;16.25;13;4;0;Mobile
7162;3480;24.74;21;0;0;Desktop
7163;5420;39.48;23;0;0;Tablet
7164;2020;27.97;22;3;0;Desktop
7165;2332;21.26;11;2;0;Mobile
7166;2494;3.31;3;4;0;Tablet
7167;6471;33.27;24;1;0;Mobile
7168;561;15.05;9;4;0;Mobile
7169;8965;12.77;9;2;0;Tablet
7170;5208;21.19;18;0;0;Tablet
7171;12196;24.47;23;0;0;Tablet
7172;5402;15.74;20;2;0;Mobile
7173;10293;27.58;14;1;0;Tablet
7174;9890;14.16;16;3;0;Mobile
7175;8675;42.09;23;3;0;Mobile
7176;620;11.49;21;1;0;Mobile
7177;8035;31.84;18;0;0;Desktop
7178;6042;30.85;19;2;0;Desktop
7179;11226;8.69;5;0;0;Mobile
7180;1021;36.80;20;1;0;Desktop
7181;10169;12.07;8;0;0;Desktop
7182;7080;25.24;16;0;0;Tablet
7183;7904;11.82;7;0;0;Desktop
7184;2931;11.25;18;0;0;Mobile
7185;10451;12.17;19;3;2;Mobile
7186;4304;4.48;5;0;0;Desktop
7187;4684;15.35;10;3;0;Desktop
7188;12182;13.97;10;3;0;Mobile
7189;11003;17.38;13;4;0;Mobile
7190;2703;41.78;21;0;0;Desktop
7191;3697;1.71;1;1;0;Desktop
7192;2946;4.68;3;2;0;Desktop
7193;4139;29.14;15;2;0;Mobile
7194;5989;6.57;7;0;0;Tablet
7195;1879;12.61;15;2;0;Tablet
7196;7052;4.79;4;0;0;Desktop
7197;9152;6.43;11;4;1;Tablet
7198;7342;12.96;19;4;0;Desktop
7199;571;21.17;17;0;0;Tablet
7200;11262;4.93;3;0;0;Tablet
7201;2774;46.80;24;0;0;Desktop
7202;375;11.91;14;4;0;Mobile
7203;8355;4.65;8;0;0;Tablet
7204;1494;13.38;21;0;0;Mobile
7205;10801;22.28;13;0;0;Tablet
7206;1902;26.47;19;0;0;Desktop
7207;6587;12.05;12;1;0;Mobile
7208;9004;10.22;12;0;0;Mobile
7209;4660;21.44;13;0;0;Desktop
7210;6673;13.31;7;0;0;Mobile
7211;12055;1.99;3;0;0;Tablet
7212;8159;9.17;5;0;0;Desktop
7213;5448;14.97;10;2;0;Desktop
7214;9212;13.95;10;2;0;Mobile
7215;12262;5.51;6;0;0;Mobile
7216;5698;4.37;6;2;0;Tablet
7217;6553;11.52;13;0;0;Tablet
7218;9163;13.21;20;2;0;Desktop
7219;9906;32.27;23;4;0;Tablet
7220;1433;23.98;25;1;0;Tablet
7221;9308;9.30;5;4;0;Mobile
7222;5864;5.08;3;3;0;Desktop
7223;10534;4.50;6;3;0;Mobile
7224;6833;15.52;8;3;2;Mobile
7225;10653;7.30;12;4;0;Desktop
7226;3604;13.09;13;4;3;Tablet
7227;8613;29.87;16;2;0;Desktop
7228;10642;6.22;10;2;0;Mobile
7229;7453;19.23;15;2;1;Desktop
7230;5339;27.25;16;1;0;Tablet
7231;4508;31.16;21;4;0;Tablet
7232;2713;9.03;10;2;0;Mobile
7233;2667;15.16;12;0;0;Desktop
7234;3369;15.68;17;4;3;Mobile
7235;2577;12.71;13;2;0;Desktop
7236;6833;23.59;13;4;0;Tablet
7237;3543;20.90;14;3;1;Desktop
7238;5597;24.07;19;1;0;Mobile
7239;4537;35.08;22;0;0;Tablet
7240;1980;23.38;22;0;0;Desktop
7241;12360;16.67;9;0;0;Tablet
7242;5762;21.85;11;2;0;Mobile
7243;5390;29.52;17;2;0;Tablet
7244;7137;23.83;20;4;0;Tablet
7245;3791;10.71;10;0;0;Tablet
7246;11940;24.34;20;0;0;Mobile
7247;8015;3.85;2;0;0;Desktop
7248;5476;25.86;18;4;0;Tablet
7249;1918;28.76;17;0;0;Tablet
7250;509;15.48;15;0;0;Mobile
7251;8880;13.04;10;2;0;Mobile
7252;11484;7.41;9;0;0;Desktop
7253;3121;16.80;11;0;0;Desktop
7254;2213;20.89;22;3;2;Tablet
7255;8543;14.72;8;0;0;Tablet
7256;10962;5.70;9;0;0;Mobile
7257;5334;28.95;15;3;0;Tablet
7258;6074;13.67;14;0;0;Tablet
7259;682;3.20;4;0;0;Mobile
7260;2491;25.14;23;4;0;Desktop
7261;6668;31.47;17;0;0;Mobile
7262;5981;2.02;3;3;0;Tablet
7263;11910;10.05;6;4;1;Mobile
7264;3921;23.78;23;3;0;Mobile
7265;8030;9.55;8;2;0;Mobile
7266;8904;16.67;15;0;0;Mobile
7267;1117;12.68;10;0;0;Tablet
7268;10699;7.77;14;2;1;Mobile
7269;10737;2.60;5;0;0;Mobile
7270;5193;1.62;1;4;3;Desktop
7271;5805;24.99;24;1;0;Mobile
7272;11657;34.31;18;3;0;Desktop
7273;9050;24.86;22;0;0;Desktop
7274;273;2.38;2;1;0;Desktop
7275;1948;23.63;20;3;0;Tablet
7276;2197;15.14;11;4;0;Tablet
7277;4422;25.66;21;2;0;Tablet
7278;4010;13.79;12;2;0;Tablet
7279;3992;25.93;15;0;0;Tablet
7280;12358;11.38;15;3;0;Mobile
7281;3133;13.68;13;2;0;Tablet
7282;11728;18.50;11;1;0;Tablet
7283;9546;12.32;14;0;0;Desktop
7284;8756;29.63;18;2;1;Mobile
7285;7722;17.66;19;3;0;Mobile
7286;1993;3.81;6;2;0;Tablet
7287;6367;9.57;8;1;0;Desktop
7288;11572;43.87;24;4;0;Desktop
7289;4976;1.95;1;0;0;Mobile
7290;11399;28.95;22;0;0;Mobile
7291;7837;9.43;5;0;0;Tablet
7292;10199;22.76;13;0;0;Desktop
7293;8114;11.60;20;1;0;Mobile
7294;10590;39.93;21;0;0;Desktop
7295;6369;40.87;21;0;0;Tablet
7296;5368;18.87;19;2;0;Desktop
7297;5838;27.88;17;4;0;Desktop
7298;6608;29.68;19;0;0;Tablet
7299;1666;8.23;7;3;0;Mobile
7300;9308;30.63;22;0;0;Desktop
7301;5094;24.15;20;1;0;Mobile
7302;3238;1.36;2;2;0;Mobile
7303;1580;1.17;1;3;0;Desktop
7304;9207;13.81;9;2;0;Desktop
7305;11466;15.87;16;0;0;Desktop
7306;5177;46.02;25;0;0;Desktop
7307;62;18.06;14;3;0;Desktop
7308;4081;6.65;6;1;0;Desktop
7309;6704;7.60;11;4;0;Tablet
7310;3180;9.15;12;4;0;Desktop
7311;5125;6.14;9;0;0;Mobile
7312;9662;9.39;12;0;0;Tablet
7313;626;5.52;7;0;0;Mobile
7314;10153;10.15;20;4;0;Desktop
7315;404;6.33;9;3;0;Tablet
7316;9124;9.55;5;1;0;Mobile
7317;973;2.36;2;3;0;Desktop
7318;7382;28.71;21;0;0;Mobile
7319;4908;13.96;15;2;0;Desktop
7320;11577;11.63;6;0;0;Mobile
7321;1781;13.28;12;0;0;Mobile
7322;7571;12.29;9;3;0;Tablet
7323;12318;2.71;3;4;0;Tablet
7324;1042;37.31;19;3;0;Tablet
7325;9018;26.96;14;2;0;Tablet
7326;11209;12.66;15;3;1;Tablet
7327;3370;25.84;19;0;0;Tablet
7328;7876;1.47;1;1;0;Desktop
7329;6260;7.29;14;3;0;Mobile
7330;10204;13.45;8;3;0;Tablet
7331;5054;27.49;20;0;0;Tablet
7332;11850;4.10;3;1;0;Tablet
7333;4103;11.57;10;0;0;Mobile
7334;2342;10.74;8;3;0;Desktop
7335;4718;28.15;19;3;1;Desktop
7336;9393;16.65;12;1;0;Tablet
7337;11557;12.58;10;4;1;Mobile
7338;7903;29.03;18;1;0;Desktop
7339;7314;24.47;19;0;0;Tablet
7340;3525;30.45;24;3;0;Mobile
7341;2954;17.18;11;0;0;Mobile
7342;1129;9.51;12;3;0;Mobile
7343;7585;20.03;16;0;0;Mobile
7344;10226;12.92;7;0;0;Tablet
7345;7064;21.17;16;1;0;Mobile
7346;6519;28.95;15;3;0;Mobile
7347;2865;34.24;20;0;0;Desktop
7348;231;2.49;2;0;0;Tablet
7349;10511;9.51;12;1;0;Tablet
7350;2990;17.95;18;0;0;Desktop
7351;11027;19.20;17;0;0;Mobile
7352;4051;11.46;11;0;0;Tablet
7353;5338;34.33;24;0;0;Tablet
7354;3490;9.64;5;0;0;Desktop
7355;215;44.58;24;0;0;Mobile
7356;3265;12.05;16;2;0;Mobile
7357;12129;29.52;23;0;0;Desktop
7358;4289;35.86;18;0;0;Mobile
7359;9536;21.73;12;2;0;Desktop
7360;4181;20.59;12;0;0;Tablet
7361;85;4.76;3;0;0;Desktop
7362;8442;15.71;10;0;0;Mobile
7363;1748;2.20;4;0;0;Desktop
7364;7379;4.89;4;1;0;Tablet
7365;5346;27.65;14;3;0;Desktop
7366;4485;27.01;22;0;0;Desktop
7367;5593;12.17;7;4;0;Mobile
7368;3955;33.53;22;3;1;Mobile
7369;2462;19.47;21;0;0;Mobile
7370;2777;34.68;19;0;0;Desktop
7371;12098;11.99;17;3;0;Mobile
7372;7290;4.11;7;0;0;Tablet
7373;8735;11.78;10;4;0;Desktop
7374;1035;16.38;18;0;0;Desktop
7375;369;29.28;25;4;0;Mobile
7376;10283;20.87;20;0;0;Tablet
7377;3147;30.86;17;3;0;Tablet
7378;1009;2.12;2;1;0;Tablet
7379;2609;12.65;18;0;0;Mobile
7380;5211;14.57;9;0;0;Mobile
7381;1632;20.40;11;0;0;Mobile
7382;10365;23.09;23;2;0;Mobile
7383;9942;19.89;10;0;0;Desktop
7384;7223;18.01;10;1;0;Desktop
7385;8075;33.43;24;0;0;Mobile
7386;296;14.35;20;3;0;Desktop
7387;1603;8.38;10;2;0;Tablet
7388;9010;17.53;16;0;0;Tablet
7389;10659;28.29;16;3;0;Tablet
7390;5465;5.34;7;1;0;Desktop
7391;1167;27.53;14;1;0;Tablet
7392;10434;23.87;14;0;0;Mobile
7393;10375;17.83;13;0;0;Desktop
7394;1590;4.10;5;1;0;Desktop
7395;10162;18.84;10;4;0;Desktop
7396;8278;33.60;17;4;0;Desktop
7397;10775;11.97;8;3;0;Tablet
7398;9701;21.79;16;3;0;Tablet
7399;2688;5.68;3;0;0;Desktop
7400;11992;1.12;2;4;0;Tablet
7401;1629;1.04;1;3;0;Tablet
7402;298;32.94;22;1;0;Desktop
7403;2732;39.25;25;2;0;Mobile
7404;84;2.34;3;3;0;Desktop
7405;5703;12.98;7;1;0;Desktop
7406;1482;6.85;5;4;0;Mobile
7407;8811;36.63;19;1;0;Desktop
7408;6894;13.51;7;0;0;Tablet
7409;5522;14.22;11;0;0;Tablet
7410;4477;25.01;18;2;0;Desktop
7411;2483;14.86;25;0;0;Desktop
7412;5656;9.79;10;0;0;Tablet
7413;782;3.36;6;4;2;Desktop
7414;4193;8.80;9;2;0;Tablet
7415;9929;14.28;25;3;0;Mobile
7416;2573;20.32;15;3;0;Desktop
7417;11252;11.61;12;0;0;Desktop
7418;11367;19.26;13;0;0;Tablet
7419;5122;11.02;7;0;0;Mobile
7420;12015;17.14;13;0;0;Desktop
7421;6424;14.96;10;4;0;Desktop
7422;4513;15.70;20;0;0;Desktop
7423;4018;29.51;15;0;0;Mobile
7424;9222;30.76;24;3;0;Desktop
7425;7119;8.91;11;1;0;Desktop
7426;1941;29.13;24;0;0;Desktop
7427;2913;35.98;19;2;0;Tablet
7428;1754;11.25;10;0;0;Tablet
7429;5402;10.79;19;0;0;Desktop
7430;6789;15.65;8;0;0;Tablet
7431;501;16.31;11;2;1;Tablet
7432;10677;11.42;6;0;0;Desktop
7433;2234;14.75;10;2;1;Desktop
7434;11343;34.65;20;0;0;Mobile
7435;1628;4.27;8;1;0;Mobile
7436;4160;0.71;1;3;0;Desktop
7437;12172;25.04;19;0;0;Desktop
7438;6114;25.85;14;1;0;Tablet
7439;8773;3.08;3;4;0;Tablet
7440;145;19.28;21;2;0;Desktop
7441;10534;28.62;17;1;0;Tablet
7442;7269;31.09;22;0;0;Tablet
